ticker,name,sicsector,sicindustry,famaindustry,sector,industry,location
ACCO,ACCO BRANDS Corp,Manufacturing,Blankbooks Looseleaf Binders & Bookbindg & Relatd Work,Printing and Publishing,Industrials,Business Equipment,Illinois U.S.A
ACCS2,Access Health Inc,Services,Services-Misc Health & Allied Services Nec,Healthcare,Healthcare,Medical Care,California U.S.A
ACDO,Accredo Health Inc,Services,Services-Misc Health & Allied Services Nec,Healthcare,Healthcare,Medical Care,Tennessee U.S.A
ACEC,Ace Comm Corp,Services,Services-Computer Integrated Systems Design,Computers,Technology,Software - Application,Maryland U.S.A
ACEE,Acme Electric Corp,Manufacturing,Electrical Industrial Apparatus,Electrical Equipment,Industrials,Diversified Industrials,New York U.S.A
ACEI,American Champion Entertainment Inc,Services,Services-Motion Picture & Video Tape Production,Entertainment,Consumer Cyclical,Media - Diversified,California U.S.A
ACEP,Parts Source Inc,Wholesale Trade,Wholesale-Motor Vehicle Supplies & New Parts,Wholesale,Consumer Cyclical,Specialty Retail,Florida U.S.A
ACER,Acer Therapeutics Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Texas U.S.A
ACET,Aceto Corp,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,Wholesale,Healthcare,Drug Manufacturers - Specialty & Generic,New York U.S.A
ACF,Americredit Corp,Finance Insurance And Real Estate,Finance Services,Banking,Financial Services,Credit Services,Texas U.S.A
ACFC,Atlantic Coast Financial CORP,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,Georgia U.S.A
ACFN,Acorn Energy Inc,Services,Services-Engineering Services,Business Services,Industrials,Engineering & Construction,Delaware U.S.A
ACGI,Amacore Group Inc,Services,Services-Business Services Nec,Business Services,Industrials,Business Services,Florida U.S.A
ACGL,Arch Capital Group Ltd,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Diversified,Bermuda
ACH,Aluminum Corp Of China Ltd,Manufacturing,Primary Production Of Aluminum,Steel Works Etc,Basic Materials,Aluminum,Taiwan Province Of China
ACHC,Acadia Healthcare Company Inc,Services,Services-Specialty Outpatient Facilities Nec,Healthcare,Healthcare,Medical Care,Tennessee U.S.A
ACHI,American Country Holdings Inc,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,Illinois U.S.A
ACHN,Achillion Pharmaceuticals Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Connecticut U.S.A
ACHV,Achieve Life Sciences Inc,Manufacturing,In Vitro & In Vivo Diagnostic Substances,Pharmaceutical Products,Healthcare,Biotechnology,Washington U.S.A
ACIA,Acacia Communications Inc,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,Technology,Communication Equipment,Massachusetts U.S.A
ACII,Americhip International Inc,Manufacturing,Special Industry Machinery (No Metalworking Machinery),Machinery,Industrials,Diversified Industrials,Michigan U.S.A
ACIIQ,Arch Coal Inc,Mining,Bituminous Coal & Lignite Surface Mining,Coal,Basic Materials,Coal,Missouri U.S.A
ACIU,AC Immune SA,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Switzerland
ACIW,Aci Worldwide Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,Florida U.S.A
ACKH,Armstrong Holdings Inc,Manufacturing,Plastics Products Nec,Rubber and Plastic Products,Consumer Cyclical,Packaging & Containers,Pennsylvania U.S.A
ACL,Alcon Inc,Manufacturing,Ophthalmic Goods,Medical Equipment,Healthcare,Medical Instruments & Supplies,Texas U.S.A
ACLA,Aclara Biosciences Inc,Manufacturing,Measuring & Controlling Devices Nec,Measuring and Control Equipment,Industrials,Pollution & Treatment Controls,California U.S.A
ACLE1,Accel International Corp,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,Connecticut U.S.A
ACLI,American Commercial Lines Inc,Transportation Communications Electric Gas And Sanitary Service,Water Transportation,Transportation,Industrials,Shipping & Ports,Indiana U.S.A
ACLO,Accelio Corp,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,Ontario Canada
ACLS,Axcelis Technologies Inc,Manufacturing,Special Industry Machinery Nec,Machinery,Technology,Semiconductor Equipment & Materials,Massachusetts U.S.A
ACLZ,Accelerize Inc,Services,Services-Business Services Nec,Business Services,Industrials,Business Services,California U.S.A
ACM,Aecom,Services,Services-Engineering Services,Business Services,Industrials,Engineering & Construction,California U.S.A
ACMC,American Church Mortgage Co,Finance Insurance And Real Estate,Real Estate,Real Estate,Real Estate,Real Estate Services,Minnesota U.S.A
ACME,Acme Communications Inc,Transportation Communications Electric Gas And Sanitary Service,Television Broadcasting Stations,Communication,Consumer Cyclical,Broadcasting - TV,California U.S.A
ACMI,Accumed International Inc,Manufacturing,In Vitro & In Vivo Diagnostic Substances,Pharmaceutical Products,Healthcare,Diagnostics & Research,Illinois U.S.A
ACMM,Accom Inc,Manufacturing,Photographic Equipment & Supplies,Consumer Goods,Technology,Consumer Electronics,California U.S.A
ACMR,ACM Research Inc,Manufacturing,Special Industry Machinery Nec,Machinery,Technology,Semiconductor Equipment & Materials,California U.S.A
ACMR1,AC Moore Arts & Crafts Inc,Retail Trade,Retail-Hobby Toy & Game Shops,Retail,Consumer Cyclical,Specialty Retail,New Jersey U.S.A
ACN,Accenture plc,Services,Services-Business Services Nec,Business Services,Technology,Information Technology Services,Ireland
ACN1,Acuson Corp,Manufacturing,Electromedical & Electrotherapeutic Apparatus,Medical Equipment,Healthcare,Medical Devices,California U.S.A
ACNAQ,Air Canada,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,Transportation,Industrials,Airlines,Quebec Canada
ACNB,Acnb Corp,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,Pennsylvania U.S.A
ACNI,American Community Newspapers Inc,Manufacturing,Newspapers: Publishing Or Publishing & Printing,Printing and Publishing,Consumer Cyclical,Publishing,Texas U.S.A
ACO,Amcol International Corp,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),Non-Metallic and Industrial Metal Mining,Basic Materials,Industrial Metals & Minerals,Illinois U.S.A
ACOM,Ancestrycom Inc,Services,Services-Computer Processing & Data Preparation,Business Services,Technology,Internet Content & Information,Utah U.S.A
ACOM1,Agency Com Ltd,Services,Services-Business Services Nec,Business Services,Industrials,Business Services,New York U.S.A
ACOR,Acorda Therapeutics Inc,Manufacturing,Biological Products (No Disgnostic Substances),Pharmaceutical Products,Healthcare,Biotechnology,New York U.S.A
ACPC,Acap Corp,Finance Insurance And Real Estate,Life Insurance,Insurance,Financial Services,Insurance - Life,Texas U.S.A
ACPW,Active Power Inc,Transportation Communications Electric Gas And Sanitary Service,Electric Services,Utilities,Utilities,Utilities - Regulated Electric,Texas U.S.A
ACR,American Retirement Corp,Services,Services-Skilled Nursing Care Facilities,Healthcare,Healthcare,Long-Term Care Facilities,Tennessee U.S.A
ACRE,Ares Commercial Real Estate Corp,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Diversified,New York U.S.A
ACRO,Acrodyne Communications Inc,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,Electronic Equipment,Technology,Communication Equipment,Maryland U.S.A
ACRS,Aclaris Therapeutics Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Pennsylvania U.S.A
ACRTQ,Actrade Financial Technologies Ltd,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,Banking,Financial Services,Asset Management,New Jersey U.S.A
ACRU,Accrue Software Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,California U.S.A
ACRX,Acelrx Pharmaceuticals Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Medical Devices,California U.S.A
ACS,Affiliated Computer Services Inc,Services,Services-Computer Processing & Data Preparation,Business Services,Technology,Internet Content & Information,Texas U.S.A
ACSC,Advanced Communication Systems Inc,Services,Services-Computer Integrated Systems Design,Computers,Technology,Software - Application,Virginia U.S.A
ACSF,American Capital Senior Floating Ltd,Finance Insurance And Real Estate,Investors Nec,Trading,Financial Services,Asset Management,New York U.S.A
ACST,Acasti Pharma Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Quebec Canada
ACTA,Actua Corp,Services,Services-Management Consulting Services,Business Services,Industrials,Business Services,Pennsylvania U.S.A
ACTG,Acacia Research Corp,Finance Insurance And Real Estate,Patent Owners & Lessors,Trading,Industrials,Business Services,California U.S.A
ACTI,Actividentity Corp,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,California U.S.A
ACTI1,Activcard Sa,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,France
ACTL,Artec Global Media Inc,Services,Services-Business Services Nec,Business Services,Industrials,Business Services,California U.S.A
ACTL1,Actel Corp,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,Technology,Semiconductors,California U.S.A
ACTM,Act Manufacturing Inc,Manufacturing,Printed Circuit Boards,Electronic Equipment,Technology,Contract Manufacturers,Massachusetts U.S.A
ACTRQ,Acterna Corp,Manufacturing,Instruments For Meas & Testing Of Electricity & Elec Signals,Measuring and Control Equipment,Technology,Communication Equipment,Massachusetts U.S.A
ACTS,Actions Semiconductor Co Ltd,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,Technology,Semiconductors,China
ACTT,Act Teleconferencing Inc,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,Communication,Communication Services,Telecom Services,Colorado U.S.A
ACTV,Active Network Inc,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,California U.S.A
ACTV1,Actv Inc,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,Electronic Equipment,Technology,Communication Equipment,New York U.S.A
ACU,Acme United Corp,Manufacturing,Cutlery Handtools & General Hardware,Construction Materials,Consumer Defensive,Household & Personal Products,Connecticut U.S.A
ACUR,Acura Pharmaceuticals Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Illinois U.S.A
ACUS,Acusphere Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Massachusetts U.S.A
ACV1,Alberto-Culver CO,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,Consumer Goods,Consumer Defensive,Household & Personal Products,Illinois U.S.A
